top - 13:08:13 up 2 days,  3:34,  1 user,  load average: 0.71, 1.30, 1.15
Tasks: 394 total,   1 running, 393 sleeping,   0 stopped,   0 zombie
%Cpu(s):  9.0 us,  3.5 sy,  0.0 ni, 86.4 id,  0.0 wa,  0.0 hi,  1.0 si,  0.0 st
MiB Mem :  15767.8 total,    783.3 free,   5477.5 used,   9507.0 buff/cache
MiB Swap:  32768.0 total,  32765.5 free,      2.5 used.   8708.1 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   4279 abhishe+  20   0  315156   8148   7328 S   0.0   0.1   0:00.15 gsd-sma+
   4280 abhishe+  20   0  319348   9056   8060 S   0.0   0.1   0:00.15 gsd-sou+
   4284 abhishe+  20   0  458688   7128   6364 S   0.0   0.0   0:00.16 gsd-usb+
   4285 abhishe+  20   0  345428  27920  17828 S   0.0   0.2   0:00.66 gsd-wac+
   4288 abhishe+  20   0  387816   8088   7168 S   0.0   0.1   0:00.15 gsd-wwan
   4289 abhishe+  20   0  346592  29584  19044 S   0.0   0.2   0:00.86 gsd-xse+
   4303 abhishe+  20   0  231804   5620   4584 S   0.0   0.0   0:00.01 gsd-dis+
   4308 abhishe+  20   0  653872  57480  41480 S   0.0   0.4   0:00.65 evoluti+
   4336 abhishe+  20   0  342184  14456  12548 S   0.0   0.1   0:00.03 gsd-pri+
   4373 abhishe+  20   0  162700   7032   6412 S   0.0   0.0   0:00.18 ibus-en+
   4474 abhishe+  20   0    8228    516    448 S   0.0   0.0   0:00.00 cat
   4475 abhishe+  20   0    8228    512    448 S   0.0   0.0   0:00.00 cat
   4477 abhishe+  20   0   32.0g   3404   3088 S   0.0   0.0   0:00.00 chrome_+
   4479 abhishe+  20   0   32.0g   2840   2576 S   0.0   0.0   0:00.00 chrome_+
   4485 abhishe+  20   0   32.3g  58532  47380 S   0.0   0.4   0:00.01 chrome
   4486 abhishe+  20   0   32.3g  58132  46984 S   0.0   0.4   0:00.01 chrome
   4487 abhishe+  20   0   32.0g   4992   4604 S   0.0   0.0   0:00.00 nacl_he+
   4490 abhishe+  20   0   32.3g  15952   4676 S   0.0   0.1   0:01.62 chrome
   4509 abhishe+  20   0  742824  12692   9020 S   0.0   0.1   0:10.69 xdg-des+
   4517 abhishe+  20   0   32.4g 143972  95152 S   0.0   0.9  14:31.30 chrome
   4519 abhishe+  20   0  678752   6428   5728 S   0.0   0.0   0:07.40 xdg-doc+
   4535 abhishe+  20   0  493792  28708  19244 S   0.0   0.2   0:01.90 xdg-des+
   4542 abhishe+  20   0   32.3g  55812  40644 S   0.0   0.3   0:19.53 chrome
   4689 abhishe+  20   0 1133.0g 302396 130744 S   0.0   1.9  10:32.73 chrome
   4731 abhishe+  20   0   32.6g  85028  73268 S   0.0   0.5   3:56.96 chrome
   5382 abhishe+  20   0  162352   6412   5676 S   0.0   0.0   0:01.64 gvfsd-m+
   5387 abhishe+  20   0  427656  33836  24272 S   0.0   0.2   0:01.91 update-+
   9596 root      20   0 1761576  73772  47700 S   0.0   0.5   0:19.34 dockerd
   9942 www-data  20   0  233824  11092   3484 S   0.0   0.1   0:00.00 apache2
   9955 www-data  20   0  233380   9252   1876 S   0.0   0.1   0:00.00 apache2
   9956 www-data  20   0  233380   9252   1876 S   0.0   0.1   0:00.00 apache2
   9957 www-data  20   0  233380   9252   1876 S   0.0   0.1   0:00.00 apache2
   9958 www-data  20   0  233380   9252   1876 S   0.0   0.1   0:00.00 apache2
   9975 abhishe+  20   0  387828   8604   7420 S   0.0   0.1   0:01.26 gvfsd-n+
   9990 abhishe+  20   0  315120   8204   7252 S   0.0   0.1   0:00.70 gvfsd-d+
  10589 root      20   0  712444   9824   7372 S   0.0   0.1   0:05.09 contain+
  10609 root      20   0    8936   6108   5236 S   0.0   0.0   0:00.02 nginx
  10663 systemd+  20   0    9324   2568   1404 S   0.0   0.0   0:00.00 nginx
  10664 systemd+  20   0    9324   2568   1404 S   0.0   0.0   0:00.00 nginx
  10665 systemd+  20   0    9324   2568   1404 S   0.0   0.0   0:00.00 nginx
  10666 systemd+  20   0    9324   2568   1404 S   0.0   0.0   0:00.00 nginx
  10667 systemd+  20   0    9324   2568   1404 S   0.0   0.0   0:00.00 nginx
  10668 systemd+  20   0    9324   2568   1404 S   0.0   0.0   0:00.00 nginx
  10669 systemd+  20   0    9324   2568   1404 S   0.0   0.0   0:00.00 nginx
  10670 systemd+  20   0    9324   2568   1404 S   0.0   0.0   0:00.00 nginx
  12023 abhishe+  20   0   36.9g 208120 136036 S   0.0   1.3   8:12.23 code
  12028 abhishe+  20   0   32.2g  47812  39352 S   0.0   0.3   0:00.02 code
  12029 abhishe+  20   0   32.2g  47032  38696 S   0.0   0.3   0:00.02 code
  12031 abhishe+  20   0   32.2g  12352   3860 S   0.0   0.1   0:00.00 code
  12044 abhishe+  20   0   32.0g   2764   2512 S   0.0   0.0   0:00.01 chrome_+
  12065 abhishe+  20   0   32.3g  65776  56128 S   0.0   0.4   0:03.54 code
  12129 abhishe+  20   0   44.5g 144324 101612 S   0.0   0.9   1:23.94 code
  12161 abhishe+  20   0   36.5g  87172  58436 S   0.0   0.5   1:17.40 code
  17797 abhishe+  20   0  279820  11252   9884 S   0.0   0.1   0:00.04 gvfsd-h+
